Name;CodIBGE;Categoria;Longitude;Latitude
BARRA DO QUARAÍ;4301875;CIDADE;-57.5570603248122;-30.2110754071007
URUGUAIANA;4322400;CIDADE;-57.0818249090229;-29.7598231712009
QUARAÍ;4315305;CIDADE;-56.4536470403836;-30.3828679600575
SANT'ANA DO LIVRAMENTO;4317103;CIDADE;-55.5348142679597;-30.8893840103812
ITAQUI;4310603;CIDADE;-56.55713349703041;-29.128636898258
ALEGRETE;4300406;CIDADE;-55.7958701453331;-29.78204320831051
MAÇAMBARÁ;4311718;CIDADE;-56.06361348173561;-29.146144198381
CHUÍ;4305439;CIDADE;-53.4626751416843;-33.6875668678584
SANTA VITÓRIA DO PALMAR;4317301;CIDADE;-53.3670063807333;-33.5198600298257
JAGUARÃO;4311007;CIDADE;-53.3775229153129;-32.5635686676586
ACEGUÁ;4300034;CIDADE;-54.1647315363634;-31.8640153034157
BAGÉ;4301602;CIDADE;-54.10708328517;-31.3305018407089
HULHA NEGRA;4309654;CIDADE;-53.8678247940087;-31.4050982475474
CANDIOTA;4304358;CIDADE;-53.6778046425127;-31.5610097227116
HERVAL;4307104;CIDADE;-53.3943378608911;-32.0267435503097
ARROIO GRANDE;4301305;CIDADE;-53.0822483482181;-32.2363441248154
PEDRAS ALTAS;4314175;CIDADE;-53.58717031963959;-31.7336369386265
PINHEIRO MACHADO;4314506;CIDADE;-53.38461996827739;-31.5805926678521
PIRATINI;4314605;CIDADE;-53.10473445397211;-31.4441124725134
ROSÁRIO DO SUL;4316402;CIDADE;-54.9457608552519;-30.2440332369883
DOM PEDRITO;4306601;CIDADE;-54.6741301838237;-30.9812670559179
SÃO GABRIEL;4318309;CIDADE;-54.3204778581076;-30.3367600540284
MANOEL VIANA;4311759;CIDADE;-55.491662539453;-29.5805371818348
SÃO FRANCISCO DE ASSIS;4318101;CIDADE;-55.1323857402451;-29.5527159059282
UNISTALDA;4322376;CIDADE;-55.1507805181379;-29.0474850247827
CACEQUI;4302907;CIDADE;-54.8277276903362;-29.8802876596639
SÃO VICENTE DO SUL;4319802;CIDADE;-54.6760020162093;-29.6920608336535
JAGUARI;4311106;CIDADE;-54.6938466713292;-29.4973467304063
MATA;4312104;CIDADE;-54.4524354819352;-29.5693917747432
NOVA ESPERANÇA DO SUL;4313037;CIDADE;-54.8358729018542;-29.40459570782
SANTIAGO;4317400;CIDADE;-54.86907585378861;-29.1914601700905
CAPÃO DO CIPÓ;4304655;CIDADE;-54.5546989999907;-28.9316275187548
LAVRAS DO SUL;4311502;CIDADE;-53.8984766554676;-30.8120099922089
SANTA MARGARIDA DO SUL;4316972;CIDADE;-54.09095467035859;-30.3451034500873
VILA NOVA DO SUL;4323457;CIDADE;-53.879196483097;-30.333958688345
SANTANA DA BOA VISTA;4317004;CIDADE;-53.1158749986991;-30.8747025731301
CAÇAPAVA DO SUL;4302808;CIDADE;-53.4875689200414;-30.5147432332542
SÃO SEPÉ;4319604;CIDADE;-53.5696441253718;-30.1674113888932
DILERMANDO DE AGUIAR;4306379;CIDADE;-54.21356038450211;-29.7019639089413
SÃO PEDRO DO SUL;4319406;CIDADE;-54.1799912875495;-29.6175307553829
SANTA MARIA;4316907;CIDADE;-53.8086753946629;-29.6855818027334
SÃO MARTINHO DA SERRA;4319125;CIDADE;-53.8542256318643;-29.5348505675058
ITAARA;4310538;CIDADE;-53.75784924900451;-29.602887953933
TOROPI;4321493;CIDADE;-54.22801099673821;-29.472141699946
JARI;4311130;CIDADE;-54.219935820282;-29.2900810960349
QUEVEDOS;4315321;CIDADE;-54.07125472235081;-29.3519213491659
JÚLIO DE CASTILHOS;4311205;CIDADE;-53.683099614611;-29.2264491184703
TUPANCIRETÃ;4322202;CIDADE;-53.8406300553464;-29.0774797292461
FORMIGUEIRO;4308409;CIDADE;-53.50029441494449;-29.9976338146029
RESTINGA SECA;4315503;CIDADE;-53.3705685765474;-29.8139485358844
SILVEIRA MARTINS;4320651;CIDADE;-53.58523747361191;-29.6452500577358
IVORÁ;4310751;CIDADE;-53.5808856194398;-29.5195344835242
SÃO JOÃO DO POLÊSINE;4318432;CIDADE;-53.4463504348062;-29.6146764155532
FAXINAL DO SOTURNO;4308003;CIDADE;-53.43906481970581;-29.5743295389602
DONA FRANCISCA;4306700;CIDADE;-53.36233318078499;-29.6248524905359
AGUDO;4300109;CIDADE;-53.2586916877151;-29.645663362438
PARAÍSO DO SUL;4314027;CIDADE;-53.17910023895459;-29.7313142393347
LAGOA BONITA DO SUL;4311239;CIDADE;-53.01698318078349;-29.4941313996333
NOVA PALMA;4313102;CIDADE;-53.4706351108828;-29.4730257371419
PINHAL GRANDE;4314472;CIDADE;-53.3386383371448;-29.3353601281098
IBARAMA;4309753;CIDADE;-53.1332000129437;-29.4207443602758
ESTRELA VELHA;4307815;CIDADE;-53.1602937786865;-29.1796613608976
ARROIO DO TIGRE;4301206;CIDADE;-53.0863955671765;-29.3358596124972
SOBRADINHO;4320701;CIDADE;-53.0251679436161;-29.4147731333216
SEGREDO;4320263;CIDADE;-52.9820736412151;-29.3426184265204
SALTO DO JACUÍ;4316451;CIDADE;-53.2133096524064;-29.0886812470148
JACUIZINHO;4310876;CIDADE;-53.0565506587969;-29.0338163553105
CAMPOS BORGES;4304101;CIDADE;-52.99891473322801;-28.8921317665278
SÃO BORJA;4318002;CIDADE;-56.0010291536185;-28.6628375259
GARRUCHOS;4308656;CIDADE;-55.6340719501044;-28.1894767892825
ITACURUBI;4310553;CIDADE;-55.23272326405159;-28.8022050322898
SANTO ANTÔNIO DAS MISSÕES;4317707;CIDADE;-55.2245566426344;-28.5080969767999
BOSSOROCA;4302501;CIDADE;-54.9098109252545;-28.730724329428
SÃO LUIZ GONZAGA;4318903;CIDADE;-54.9596595493639;-28.4066469522193
SÃO NICOLAU;4319208;CIDADE;-55.26010023202801;-28.1821546925196
PIRAPÓ;4314555;CIDADE;-55.2003099472118;-28.0453158368443
DEZESSEIS DE NOVEMBRO;4306353;CIDADE;-55.04820850203991;-28.2268764427117
ROQUE GONZALES;4316303;CIDADE;-55.0291861243459;-28.1353669861098
SÃO PAULO DAS MISSÕES;4319307;CIDADE;-54.93470834225239;-28.0204849091791
PORTO XAVIER;4315107;CIDADE;-55.139560262016;-27.9056898461534
PORTO LUCENA;4315008;CIDADE;-55.0115620452524;-27.8513751151926
PORTO VERA CRUZ;4315073;CIDADE;-54.8990318240447;-27.7343739186307
CAIBATÉ;4303301;CIDADE;-54.63788670420869;-28.2910748183788
SÃO MIGUEL DAS MISSÕES;4319158;CIDADE;-54.5615630937001;-28.5495371207205
VITÓRIA DAS MISSÕES;4323754;CIDADE;-54.4990548870704;-28.352387248462
ENTRE-IJUÍS;4306932;CIDADE;-54.2714318511947;-28.3627942771102
SANTO ÂNGELO;4317509;CIDADE;-54.2641427984269;-28.3019378725592
ROLADOR;4315958;CIDADE;-54.81942697541041;-28.2563442165406
SÃO PEDRO DO BUTIÁ;4319372;CIDADE;-54.8882559534463;-28.1243539010572
SALVADOR DAS MISSÕES;4316477;CIDADE;-54.8377420188123;-28.1216974443491
CERRO LARGO;4305207;CIDADE;-54.7399972398551;-28.1478408761664
CAMPINA DAS MISSÕES;4303707;CIDADE;-54.8453289508288;-27.9916900276177
MATO QUEIMADO;4312179;CIDADE;-54.6168368777268;-28.2558159862253
UBIRETAMA;4322343;CIDADE;-54.68451077622811;-28.0435647649493
